gene,cluster_kmeans,cluster_hdbscan
ACSM6,1,-1
TTF2,6,7
ENDOG,6,-1
DHX38,6,7
IL27RA,9,-1
HDAC10,6,-1
GALNT4,10,6
IFNE,9,-1
GALNT16,10,6
STAM2,2,-1
SV2A,14,-1
RAD51D,6,-1
DNMT1,6,-1
PGM3,10,-1
NCF4,2,-1
RBL1,8,-1
SLC16A2,14,-1
GLI3,16,13
SEC23A,2,-1
TAOK1,15,13
POM121,2,4
CHD8,8,13
KRT36,3,8
PCLO,3,-1
MCM4,6,12
ZNF8,0,14
TAF1,8,13
RAET1L,5,-1
CNOT1,8,-1
IPO7,2,5
GTSE1,3,-1
HTR2B,16,13
ULBP3,5,-1
SLC33A1,2,-1
SGCB,3,-1
CD1A,5,-1
PDE8B,9,-1
ELN,3,-1
RPS28,7,11
FADS2,1,-1
ULBP1,5,-1
NCK1,9,13
RPL15,7,11
MAP3K8,12,13
RPL26,7,11
TXK,12,-1
MMP16,4,-1
RFC1,6,-1
C3,9,-1
ROCK1,16,13
IL1RL2,9,-1
UBA52,7,11
DES,3,-1
BOC,16,-1
GLYCTK,12,-1
TLE6,8,-1
CSNK2A3,12,-1
RASAL2,9,-1
NTN1,16,-1
KLHL13,15,-1
FANCC,6,-1
GRIA3,14,9
AP3B1,2,-1
SULT2A1,1,-1
ZFP57,0,14
RPL13A,7,11
LAMA2,16,-1
FOSB,8,-1
FADS1,1,-1
FNIP1,15,-1
FKBP5,15,-1
HYAL2,9,13
CHSY3,10,-1
SAT2,11,-1
SLITRK4,16,-1
HEPHL1,14,-1
EGFR,16,13
CYP51A1,1,-1
DHX8,6,-1
RPL5,7,11
COL4A4,3,-1
TSPO,9,13
MTMR14,12,-1
RPL13,7,11
MALT1,9,13
RYR1,14,-1
S1PR4,13,-1
ADAM17,9,13
FANCM,6,12
CUL3,15,13
MED13,8,-1
UGT8,10,-1
TRRAP,8,-1
CLDN8,3,2
CTNND2,3,-1
CCL14,9,-1
HUWE1,15,13
COL1A1,16,-1
HDAC4,8,13
CDC27,15,-1
PGLS,11,-1
FNIP2,15,-1
PHLPP2,2,-1
UBE4A,15,-1
SMG1,12,-1
SIRPG,9,-1
VIPR1,13,-1
RPL35A,7,11
SLC44A5,14,-1
HOXD10,8,13
KLRC1,9,-1
MGAT2,10,6
PARP2,6,-1
KIF23,3,-1
GAS1,16,-1
PTPRZ1,16,-1
