gene,cluster_kmeans,cluster_hdbscan
ZNF33A,10,-1
ZNF785,10,21
DCLRE1C,16,-1
CCNE2,18,-1
ACSS3,11,-1
DPYSL2,4,-1
THOC2,5,-1
OGDHL,12,-1
CNOT10,17,-1
GSK3A,1,17
EGF,1,-1
PLK4,6,-1
PRPF3,8,6
PIGC,0,-1
TUBA3C,4,-1
ZNF222,10,-1
RPL10L,17,-1
AXIN1,18,14
PGAP1,7,-1
SFRP2,1,-1
CUL7,18,-1
ARSB,1,-1
DHH,1,-1
HNRNPA3,5,-1
MLYCD,12,0
CDC20,18,-1
WNT3,1,-1
TLR6,1,-1
ELOVL4,7,-1
LRP2,4,-1
NEFH,4,-1
FCGR2C,1,-1
SERPINA7,15,-1
CKS2,18,-1
CYP3A4,12,2
LSM5,8,6
IL17RE,4,-1
DIO2,12,-1
ZNF233,10,-1
COL5A3,15,-1
TLE3,3,-1
ATIC,11,-1
HSD3B7,12,-1
DHX8,5,-1
SGPP2,7,-1
GPAT2,7,-1
FANCD2,16,13
NPFFR2,13,-1
ANAPC1,18,-1
ZNF550,10,-1
FBXO5,18,-1
RPS16,17,15
DTYMK,11,-1
PIGT,0,-1
KIF3A,4,-1
FMO2,12,-1
CRTC2,3,-1
TNPO1,2,10
CDK6,1,-1
SNRPD3,8,6
NAMPT,1,-1
FABP6,2,-1
PTGER2,13,-1
UBE2S,18,8
CHMP4A,2,-1
SARS2,5,-1
NLGN4Y,4,-1
SMPD2,7,-1
BRAF,1,17
NDC1,2,-1
C7,1,-1
SNRPB2,8,6
GSTP1,1,-1
RPS21,17,15
SAP30,3,-1
ZNF783,10,-1
CXCL12,1,11
BUB3,18,-1
XRCC3,16,13
CCR2,1,11
ZNF85,10,-1
CPS1,11,-1
ZNF570,10,20
PSMD3,18,-1
SSR1,0,-1
RFK,11,-1
PKMYT1,6,-1
RAMP3,13,-1
WDR43,14,-1
ARSG,1,-1
MTMR14,6,-1
CDC7,6,-1
ZNF568,10,-1
PRPF4,8,6
ZNF669,10,21
SFN,1,-1
TNFRSF19,1,-1
VTCN1,1,-1
MED13,3,-1
ADH4,12,-1
CPLX2,4,-1
FHIT,11,-1
RBPJ,1,-1
POLR3G,3,-1
