gene,cluster_kmeans,cluster_hdbscan
CCNA2,3,-1
SNRPA,15,-1
KLF4,6,23
ALDOA,13,-1
IL18,7,23
DECR2,10,-1
COX4I2,14,0
EPHA5,7,-1
LIMK1,3,-1
PYGM,1,-1
SKAP1,3,-1
FSCN1,13,-1
CCL25,7,23
SI,1,-1
FRMD6,13,-1
CD72,0,-1
AP1S1,12,19
DHH,7,-1
LILRA4,7,-1
RXRA,6,23
OGG1,4,20
CEBPB,6,23
ECHDC1,1,-1
ENPP3,1,-1
GRK6,3,-1
SULT1A1,10,-1
HRH2,0,-1
CYP4F8,10,12
NPL,1,-1
CXCL14,7,23
SEMA5B,7,-1
MTHFD1L,1,-1
CDCA5,4,-1
CERS5,9,-1
NOB1,15,-1
IL4,7,-1
GTF2H4,4,-1
RANBP17,5,-1
SSR3,12,-1
LILRB5,0,-1
NLN,11,-1
DIO2,10,-1
DUOX1,10,-1
B4GALT6,9,-1
GABBR1,13,-1
SYCP3,4,-1
HCK,7,-1
B4GALNT4,9,-1
CDKN2C,5,-1
TCL1A,5,-1
BMP6,7,23
CLCF1,7,-1
MTMR8,1,-1
EVL,13,-1
CHRNA10,2,23
ACOT7,1,-1
PCGF1,6,-1
ANAPC2,3,-1
DUSP9,3,-1
ATP6V1F,12,-1
ALB,5,-1
MAD2L1,4,-1
BAIAP2,13,23
ABCC11,2,-1
ZNF316,8,-1
INHA,7,-1
NPR1,7,-1
ZNF212,6,-1
FCGR3A,7,-1
PTPN5,3,-1
U2AF1L4,15,-1
BUB1B,3,-1
SEMA4G,7,-1
PIP5KL1,1,-1
AOX1,10,-1
HMGCS2,10,-1
ITGAM,7,23
DKK4,7,-1
ADORA1,7,23
PTGER3,0,-1
NDUFA3,14,0
RELB,6,23
NCF4,12,-1
COX6A2,14,0
ALDH3B2,10,-1
SLC11A1,2,-1
E2F5,6,-1
GNRH1,7,-1
ATP6V1C2,2,-1
PLXNA4,7,-1
XRCC2,4,-1
CSF3R,0,-1
LPAR5,0,-1
COL23A1,11,-1
ORC6,4,-1
TAOK3,3,23
HMMR,5,-1
LMNB1,13,-1
SUV39H1,6,22
SIVA1,5,-1
MSX1,6,23
FOLR2,7,-1
PPP1R1A,3,-1
SLC9A3,2,-1
B4GALT2,9,-1
ATP6V0A4,12,-1
TAF11,6,-1
ZNF404,8,-1
COX5B,14,0
ACO1,5,-1
SERPINB5,11,-1
FCGR2A,7,-1
EHD4,12,19
COL9A3,11,-1
GGT6,1,-1
PPP1R3F,3,-1
PRPF3,15,15
BUB1,3,-1
AP4B1,12,-1
UQCRH,14,0
FLOT1,13,-1
UBE2G2,3,17
ULBP3,7,-1
