gene,cluster_kmeans,cluster_hdbscan
HDC,1,-1
AK5,1,11
IL27,7,23
WNT10B,7,23
CLDN9,13,-1
SEMA6C,7,-1
ZNF251,8,24
ASIC2,2,23
HRAS,7,23
PLOD3,11,-1
CCL11,7,23
COL8A2,11,-1
CSNK1G2,3,-1
OS9,12,-1
YWHAZ,3,-1
CXXC4,5,-1
TMSB4X,13,-1
ARHGEF2,7,23
CMPK1,1,11
FTCD,1,-1
TNFSF13B,7,-1
ALDOB,1,-1
NADSYN1,1,-1
HSD17B3,10,-1
DMGDH,14,-1
SRM,1,-1
CA3,7,-1
VPS37D,12,-1
FGF17,7,-1
PTPRR,3,-1
DNAJC1,12,-1
PIGQ,9,-1
SLC17A5,2,-1
ZNF517,8,26
PABPC1L,15,-1
FCGR3B,11,-1
VSIG4,7,-1
GALC,1,-1
SLC19A2,2,-1
SPI1,6,23
CST2,11,-1
IQCE,13,-1
PAFAH2,1,-1
APBB1IP,13,-1
SLC26A4,2,-1
UBE2C,3,17
CFL1,13,-1
PLA2G4B,1,-1
VAV1,7,-1
PRAP1,7,-1
MAML2,6,-1
HHAT,9,-1
SMAD4,6,23
PIGV,9,-1
ST3GAL1,9,-1
ZNF761,8,25
IQGAP3,3,-1
LAT,7,-1
PPP1R3E,1,-1
LAMTOR2,12,-1
OR2L13,0,8
GALK2,1,-1
DMBT1,11,-1
ABCC5,2,-1
SYK,7,23
PORCN,12,-1
DPP4,11,-1
RPLP1,5,3
PRDX5,5,-1
GNG4,0,-1
ZNF814,8,-1
NKX2-2,6,-1
MAGI2,13,-1
HCN2,2,23
SLC1A2,2,-1
DNMT3B,6,-1
ZBTB17,6,23
SMC1B,4,-1
OR2B6,0,8
APLN,7,-1
SLITRK2,13,-1
CARD9,7,23
PABPC1L2B,15,-1
ACOX2,10,-1
ENO2,5,-1
DIAPH3,13,-1
PTH2R,0,-1
CPLX2,13,-1
GAL3ST1,9,-1
TAC1,7,23
ESAM,13,-1
CREB5,8,-1
ELN,11,-1
NOP58,15,-1
EHHADH,10,-1
DHX16,15,-1
LEFTY2,11,-1
SERPINF2,7,-1
SEMA4F,13,-1
TP63,6,23
GPR35,0,-1
ZNF547,8,24
SLC16A3,2,-1
DNMT1,6,22
ETV4,8,23
VWF,11,-1
ATG16L2,12,-1
ACSL6,1,6
COX17,5,-1
OSCAR,11,-1
GRIN3A,2,23
CCL7,7,23
ST6GAL2,9,-1
PAK3,3,-1
MAN1C1,9,-1
UGGT1,9,-1
CEL,1,-1
PROM1,13,-1
CTSZ,11,-1
COL4A6,11,-1
SLC2A5,2,-1
PRKCB,3,23
GRM2,0,-1
LTB4R2,0,-1
NDUFA1,14,0
PLK4,3,-1
NTNG1,13,-1
CALML6,5,-1
GDF9,7,-1
NLRC4,7,-1
CYP21A2,10,-1
CCL16,7,23
MFNG,9,-1
HDAC10,6,-1
TAS2R5,0,8
MRPL24,15,4
ZFP57,8,24
TMEM86B,1,-1
PGR,6,23
COMP,7,-1
RELT,5,-1
ZNF490,8,24
ZNF736,8,25
NDUFB9,14,0
ZNF732,8,-1
NLGN4X,13,23
HHATL,12,-1
IRF3,6,23
GAD1,13,-1
SPDYE5,3,-1
PDE6D,5,-1
BTK,7,23
LTB4R,0,-1
RYR2,2,23
CYCS,14,-1
ZNF514,8,25
PARP2,4,-1
IFI30,11,-1
MPV17L,14,-1
CD4,7,23
GABARAP,12,-1
NUDT12,1,-1
ZNF707,8,24
HSD11B1L,10,-1
AKT1S1,3,-1
SEC61A2,12,-1
PFKL,1,-1
CD37,7,-1
GCNT4,9,-1
FOS,6,23
IRF5,6,23
MYO1F,13,-1
PLK3,3,23
NKD2,12,-1
NAGLU,7,-1
LSM5,15,15
MRPL16,15,4
WNT7B,7,-1
FUCA1,1,-1
WNT2,7,-1
GHRL,7,23
ZNF433,8,24
NFYB,8,23
CCL24,7,23
