implementation,n_features,n_samples,seed,accuracy,f1,train_time,test_time
MyRandomForest,700,100,0,0.43333333333333335,0.40419047619047616,3.397803544998169,0.0894472599029541
RandomForestClassifier,700,100,0,0.5,0.48821548821548816,0.27729225158691406,0.032743215560913086
MyRandomForest,100,100,0,0.6333333333333333,0.6345569150908417,0.09156417846679688,0.07648825645446777
RandomForestClassifier,100,100,0,0.6666666666666666,0.6666666666666666,0.19814348220825195,0.031316518783569336
MyRandomForest,3900,100,0,0.6666666666666666,0.6666666666666666,0.997002363204956,0.16703271865844727
RandomForestClassifier,3900,100,0,0.6,0.5927601809954751,0.7083806991577148,0.030434608459472656
MyRandomForest,1900,100,0,0.5,0.48000000000000004,0.5246820449829102,0.0896449089050293
RandomForestClassifier,1900,100,0,0.43333333333333335,0.4237934904601571,0.40772509574890137,0.029787063598632812
MyRandomForest,3900,100,0,0.6333333333333333,0.6246913580246913,0.892204999923706,0.1720869541168213
RandomForestClassifier,3900,100,0,0.3,0.28350168350168353,0.7126054763793945,0.034055471420288086
MyRandomForest,5000,100,0,0.5333333333333333,0.5291666666666667,1.0548954010009766,0.20082306861877441
RandomForestClassifier,5000,100,0,0.5333333333333333,0.5291101055806938,0.8703334331512451,0.027677297592163086
MyRandomForest,1900,100,0,0.5333333333333333,0.5291101055806938,0.49626851081848145,0.08837246894836426
RandomForestClassifier,1900,100,0,0.5333333333333333,0.5333333333333333,0.3886902332305908,0.028934478759765625
MyRandomForest,700,100,0,0.5,0.5016835016835016,0.16936540603637695,0.0752866268157959
RandomForestClassifier,700,100,0,0.43333333333333335,0.43018168335187246,0.2230222225189209,0.03145599365234375
MyRandomForest,2800,100,0,0.5333333333333333,0.5122171945701358,0.702434778213501,0.13421082496643066
RandomForestClassifier,2800,100,0,0.5,0.4685714285714286,0.5250790119171143,0.03327369689941406
MyRandomForest,4700,100,0,0.4,0.37828054298642527,1.0550172328948975,0.1983966827392578
RandomForestClassifier,4700,100,0,0.5666666666666667,0.5681257014590348,0.8286988735198975,0.031010150909423828
MyRandomForest,3300,100,0,0.5666666666666667,0.5671486837226548,0.7246603965759277,0.1295166015625
RandomForestClassifier,3300,100,0,0.6666666666666666,0.6636500754147813,0.5852987766265869,0.030856609344482422
MyRandomForest,3300,100,0,0.4666666666666667,0.4222222222222223,0.7535066604614258,0.12241363525390625
RandomForestClassifier,3300,100,0,0.5,0.5027808676307007,0.6223733425140381,0.03122878074645996
MyRandomForest,4000,100,0,0.4,0.3196172248803828,0.8669312000274658,0.17087244987487793
RandomForestClassifier,4000,100,0,0.5666666666666667,0.5535353535353535,0.6997888088226318,0.03421354293823242
MyRandomForest,1700,100,0,0.7333333333333333,0.7321428571428572,0.3636512756347656,0.07708501815795898
RandomForestClassifier,1700,100,0,0.4666666666666667,0.46428571428571425,0.3572843074798584,0.031810760498046875
MyRandomForest,3600,100,0,0.5,0.45475910693301996,0.8268563747406006,0.1805260181427002
RandomForestClassifier,3600,100,0,0.4666666666666667,0.4473604826546004,0.661623477935791,0.03062582015991211
MyRandomForest,4200,100,0,0.4666666666666667,0.45714285714285713,0.9215521812438965,0.16650724411010742
RandomForestClassifier,4200,100,0,0.4666666666666667,0.4666666666666667,0.7359299659729004,0.030430316925048828
MyRandomForest,600,100,0,0.5666666666666667,0.5661846496106785,0.14756274223327637,0.07730555534362793
RandomForestClassifier,600,100,0,0.5666666666666667,0.5622895622895623,0.2186424732208252,0.03338432312011719
MyRandomForest,3300,100,0,0.5333333333333333,0.5333333333333333,0.7732405662536621,0.11932539939880371
RandomForestClassifier,3300,100,0,0.5,0.49158249158249157,0.5983879566192627,0.02963852882385254
MyRandomForest,4900,100,0,0.7,0.6982857142857143,1.0827298164367676,0.20109796524047852
RandomForestClassifier,4900,100,0,0.5333333333333333,0.500925925925926,0.8289589881896973,0.03046131134033203
MyRandomForest,3900,100,0,0.5333333333333333,0.49444444444444446,0.8567047119140625,0.16708040237426758
RandomForestClassifier,3900,100,0,0.3333333333333333,0.2,0.6913580894470215,0.030388355255126953
MyRandomForest,3300,100,0,0.5666666666666667,0.5345867606737171,0.7648985385894775,0.12060189247131348
RandomForestClassifier,3300,100,0,0.5666666666666667,0.5142857142857142,0.5946512222290039,0.028766155242919922
MyRandomForest,4100,100,0,0.6,0.5927601809954751,0.8773884773254395,0.16509723663330078
RandomForestClassifier,4100,100,0,0.5333333333333333,0.5248868778280543,0.7284929752349854,0.030286312103271484
MyRandomForest,500,100,0,0.4666666666666667,0.4666666666666667,0.1277616024017334,0.07544231414794922
RandomForestClassifier,500,100,0,0.6333333333333333,0.6345569150908417,0.21042847633361816,0.032250404357910156
MyRandomForest,400,100,0,0.6,0.6,0.11719965934753418,0.07863616943359375
RandomForestClassifier,400,100,0,0.7,0.6996662958843161,0.20305132865905762,0.031135082244873047
MyRandomForest,1200,100,0,0.6,0.6,0.26275181770324707,0.07602643966674805
RandomForestClassifier,1200,100,0,0.7,0.6996662958843161,0.2875063419342041,0.029216766357421875
MyRandomForest,2300,100,0,0.5333333333333333,0.5333333333333333,0.5929579734802246,0.14957308769226074
RandomForestClassifier,2300,100,0,0.6666666666666666,0.6651785714285715,0.4465630054473877,0.030293703079223633
MyRandomForest,400,100,0,0.5666666666666667,0.5443809523809524,0.10738921165466309,0.07604837417602539
RandomForestClassifier,400,100,0,0.5666666666666667,0.564256581386726,0.2047586441040039,0.030947208404541016
MyRandomForest,1900,100,0,0.5333333333333333,0.5248868778280543,0.5077154636383057,0.08081984519958496
RandomForestClassifier,1900,100,0,0.43333333333333335,0.4171428571428571,0.38729214668273926,0.029145240783691406
MyRandomForest,300,100,0,0.5,0.5016835016835016,0.09617471694946289,0.07516026496887207
RandomForestClassifier,300,100,0,0.4666666666666667,0.46904761904761905,0.19481134414672852,0.030380725860595703
MyRandomForest,3000,100,0,0.43333333333333335,0.37273795534665105,0.704862117767334,0.12158894538879395
RandomForestClassifier,3000,100,0,0.4666666666666667,0.3952153110047847,0.5576357841491699,0.03310132026672363
MyRandomForest,200,100,0,0.6333333333333333,0.6337411939191694,0.08618712425231934,0.07808327674865723
RandomForestClassifier,200,100,0,0.6333333333333333,0.6320987654320988,0.19243836402893066,0.030520915985107422
MyRandomForest,1500,100,0,0.43333333333333335,0.36341558950254604,0.32738184928894043,0.07636666297912598
RandomForestClassifier,1500,100,0,0.4666666666666667,0.45476190476190476,0.31787967681884766,0.030977249145507812
MyRandomForest,4600,100,0,0.43333333333333335,0.4106666666666667,0.97222900390625,0.21416544914245605
RandomForestClassifier,4600,100,0,0.5333333333333333,0.5206636500754148,0.7762887477874756,0.030063629150390625
MyRandomForest,2800,100,0,0.7,0.7003337041156841,0.66196608543396,0.09909963607788086
RandomForestClassifier,2800,100,0,0.5666666666666667,0.5652076318742985,0.5242736339569092,0.03423643112182617
MyRandomForest,3300,100,0,0.36666666666666664,0.2622710622710623,0.7650601863861084,0.17447376251220703
RandomForestClassifier,3300,100,0,0.43333333333333335,0.37273795534665105,0.5994014739990234,0.03142118453979492
MyRandomForest,2100,100,0,0.5333333333333333,0.525,0.5565972328186035,0.08850240707397461
RandomForestClassifier,2100,100,0,0.4,0.3728506787330316,0.4219071865081787,0.03393840789794922
MyRandomForest,1000,100,0,0.5,0.4972191323692992,0.23119759559631348,0.07580208778381348
RandomForestClassifier,1000,100,0,0.5,0.4972191323692992,0.2537665367126465,0.029248952865600586
MyRandomForest,3600,100,0,0.5,0.5027808676307007,0.804542064666748,0.13306975364685059
RandomForestClassifier,3600,100,0,0.5,0.4685714285714286,0.6268510818481445,0.03040766716003418
MyRandomForest,2200,100,0,0.5666666666666667,0.5623285131627734,0.5678439140319824,0.08595418930053711
RandomForestClassifier,2200,100,0,0.5666666666666667,0.5506172839506173,0.44210028648376465,0.02955317497253418
MyRandomForest,3700,100,0,0.4,0.3973214285714286,0.8582255840301514,0.21373367309570312
RandomForestClassifier,3700,100,0,0.6666666666666666,0.6527777777777779,0.6648039817810059,0.02997422218322754
MyRandomForest,2700,100,0,0.5666666666666667,0.5661846496106785,0.6511833667755127,0.09055709838867188
RandomForestClassifier,2700,100,0,0.5333333333333333,0.5333333333333333,0.5322773456573486,0.032051801681518555
MyRandomForest,2800,100,0,0.5,0.5005561735261401,0.6584677696228027,0.08832526206970215
RandomForestClassifier,2800,100,0,0.6,0.6,0.5344915390014648,0.029082536697387695
MyRandomForest,4400,100,0,0.5,0.4949944382647386,1.0025660991668701,0.20919466018676758
RandomForestClassifier,4400,100,0,0.43333333333333335,0.3274725274725275,0.7574741840362549,0.031180381774902344
MyRandomForest,900,100,0,0.7333333333333333,0.7222222222222221,0.20015907287597656,0.0783541202545166
RandomForestClassifier,900,100,0,0.6333333333333333,0.6228571428571429,0.23818302154541016,0.03221273422241211
MyRandomForest,3500,100,0,0.6333333333333333,0.6312940304041528,0.8160099983215332,0.130720853805542
RandomForestClassifier,3500,100,0,0.6333333333333333,0.6345569150908417,0.6446864604949951,0.030620574951171875
MyRandomForest,4500,100,0,0.5333333333333333,0.53125,0.979820966720581,0.2017202377319336
RandomForestClassifier,4500,100,0,0.6333333333333333,0.6329254727474972,0.8066272735595703,0.03191637992858887
MyRandomForest,4800,100,0,0.6,0.5927601809954751,1.0315234661102295,0.23505902290344238
RandomForestClassifier,4800,100,0,0.5,0.49944382647385993,0.8246057033538818,0.03331184387207031
MyRandomForest,4000,100,0,0.43333333333333335,0.43018168335187246,0.8664109706878662,0.15562105178833008
RandomForestClassifier,4000,100,0,0.6666666666666666,0.6666666666666666,0.702385425567627,0.02997422218322754
MyRandomForest,700,100,0,0.5666666666666667,0.5593714927048261,0.1679220199584961,0.07502079010009766
RandomForestClassifier,700,100,0,0.5666666666666667,0.5671486837226548,0.22685503959655762,0.03164839744567871
MyRandomForest,2600,100,0,0.6666666666666666,0.6651785714285715,0.6422140598297119,0.08804869651794434
RandomForestClassifier,2600,100,0,0.4666666666666667,0.4570135746606335,0.5060632228851318,0.029144287109375
MyRandomForest,3500,100,0,0.3333333333333333,0.3453996983408748,0.7959842681884766,0.12434506416320801
RandomForestClassifier,3500,100,0,0.26666666666666666,0.25029761904761905,0.6246092319488525,0.03103494644165039
MyRandomForest,2100,100,0,0.4666666666666667,0.45476190476190476,0.5395078659057617,0.1211845874786377
RandomForestClassifier,2100,100,0,0.5333333333333333,0.5079939668174963,0.4212074279785156,0.03091573715209961
MyRandomForest,4700,100,0,0.4666666666666667,0.4222222222222223,1.0409066677093506,0.19924569129943848
RandomForestClassifier,4700,100,0,0.4,0.3892857142857143,0.7716436386108398,0.03071737289428711
