implementation,n_features,n_samples,seed,accuracy,f1,train_time,test_time
MyRandomForest,20,8800,0,0.9125,0.9123265381750936,3.8073267936706543,0.134141206741333
RandomForestClassifier,20,8800,0,0.9109848484848485,0.9108699199668556,1.1372642517089844,0.04376840591430664
MyRandomForest,20,4800,0,0.9375,0.937502171496074,0.6717886924743652,0.09545707702636719
RandomForestClassifier,20,4800,0,0.9388888888888889,0.9388888888888889,0.8040130138397217,0.04238319396972656
MyRandomForest,20,9300,0,0.8584229390681004,0.8583714741565637,1.6504180431365967,0.11058282852172852
RandomForestClassifier,20,9300,0,0.860931899641577,0.8609122461912535,1.2076804637908936,0.04196333885192871
MyRandomForest,20,2700,0,0.9012345679012346,0.901221919257079,0.37613677978515625,0.09146857261657715
RandomForestClassifier,20,2700,0,0.9061728395061729,0.9061659736436704,0.38777875900268555,0.04049110412597656
MyRandomForest,20,6900,0,0.9028985507246376,0.9028920917069829,0.9679305553436279,0.09747314453125
RandomForestClassifier,20,6900,0,0.9048309178743962,0.9048229879671853,0.8506300449371338,0.04049348831176758
MyRandomForest,20,1900,0,0.9035087719298246,0.9034150937244363,0.25258660316467285,0.07802844047546387
RandomForestClassifier,20,1900,0,0.9122807017543859,0.9122050117589815,0.3207218647003174,0.03006267547607422
MyRandomForest,20,6500,0,0.9097435897435897,0.9097433998542221,0.8975145816802979,0.09714603424072266
RandomForestClassifier,20,6500,0,0.9076923076923077,0.9076893945187182,0.8301901817321777,0.04213404655456543
MyRandomForest,20,2200,0,0.906060606060606,0.905975916807165,0.2954530715942383,0.07982110977172852
RandomForestClassifier,20,2200,0,0.9075757575757576,0.9074832820997937,0.35198307037353516,0.030416250228881836
MyRandomForest,20,3200,0,0.8864583333333333,0.8862087466957294,0.41754674911499023,0.08090686798095703
RandomForestClassifier,20,3200,0,0.8979166666666667,0.8977568840579709,0.41652965545654297,0.04063534736633301
MyRandomForest,20,1800,0,0.9055555555555556,0.9055701307653529,0.23141026496887207,0.07807493209838867
RandomForestClassifier,20,1800,0,0.9185185185185185,0.9185274603675404,0.3055105209350586,0.031877756118774414
